userid	product	review
AO2DZ7WIPM74U	B000I9TWV6	it's dora
A1IKFBECFIKN1X	B000I9TWV6	fun for young children
A1COWJRBTXJWVY	B000I9TWV6	ok
A2K152LG69WTK2	B000I9TWV6	good learning tool for preschoolers
A24V8UJZXMAB6M	B000I9TWV6	fun and educational
A3VQ1POM0N5388	B000I9TWV6	still great
A2TO3FEFPPEW55	B000I9TWV6	dora the explora
A1R6E48W5J42Z	B000I9TWV6	my 2-year-old daughter adores this show
A29DPIH2YXFKRJ	B000I9TWV6	our kids love dora
ARHYU0IMJFOS5	B000I9TWV6	my granddaughters love this
A2QPY7AWL38XY8	B000I9TWV6	i like the early seasons the best
ANIO9G5R8D6FF	B000I9TWV6	great for toddlers
A3DGB4HN3QCGAL	B000IBUIS0	with sg-1 gone 34 syfy 34 has really slipped
A72BEKNJCGJA8	B000IBUIS0	greatest sci fi series ever goes south
A853IU3HPURU	B000IBUIS0	good work
AUCISQA1YXX86	B000IBUIS0	directed by darth hideous
A21ZXM8XB9XJHK	B000IBUIS0	stargate sg1 is fantastic
A3S48Q63UPO9L6	B000IBUIS0	sg1 one of the best shows of our time
A2ZT9K1PFBZ1L9	B000IBUIS0	star gate 1 science fiction series
A2M6G35BNRRWXS	B000IBUIS0	i cried a few times
A6TA0W67357VF	B000IBUIS0	one of the best sci fi shows of all time
A1FEITLECMZ6EW	B000IBUIS0	interesting
A2AIE7ZJIW2T6S	B000IBUIS0	stargate sg-1 season 10 just keeps you wanting more
ADY76XRF9PZ5M	B000IBUIS0	amazing
A3573A5Y7U5AS4	B000IBUIS0	great show
A1BZO0THZKLQE4	B000IBUIS0	stargate sg-1
AUY6OZTQM4YE6	B000IBUIS0	awesome show
A10KVORU2FMSOG	B000IBUIS0	great
A1RXBAJDU8XCCX	B000IBUIS0	ending for a great series
A1ZVCVODKPED2G	B000IBUIS0	character development
AFV2584U13XP3	B000IBUIS0	while truly the final season mixed opinion on if it was even releasing
A16QODENBJVUI1	B000IBUIS0	a fun and dignified final season to sci-fi longest continuously running series
ABHFDY6XU5Z3B	B000IBUIS0	fun
A1E3WEJRJLWSSP	B000IBUIS0	it's a sad ending to a great tv series
A253TX57EZ6HF1	B000IBUIS0	pretty good
A360E528ENYXA1	B000IBUIS0	indeed
A1EQO7W4NS3V2I	B000IBUIS0	great adventure
AQP1VPK16SVWM	B000IBUIS0	it was the best of times it was the worst of times
A33LMH8SBNUA76	B000IBUIS0	very weak ending
A1P98DMX8YUSNW	B000IBUP6A	somewhat overrated
A234PK90SOCFSF	B000IBUP6A	bravo criterion
A2GCHG6U8HTVIT	B000IBUP6A	look i'm gettin' old eddie coyle says that's the least of eddie's worries
A2B73CL3QSYWLB	B000IBUP6A	very good crime film
A18SYB7HBJRKUE	B000IBUP6A	see this and then see the other george v higgins-based movie 2012's killing them softly
A3LGDXHXYBMGCY	B000IBUP6A	grim and gripping existential drama
A1ALVTBS2UO10	B000IBUP6A	no honor amongst thieves
A2RCEQLQA8TZRJ	B000IBUP6A	three stars
A17LEYMZI8OYOQ	B000IBUP6A	mitchum's finest performance
A3UPYGJKZ0XTU4	B000IBUP6A	a great turn from robert mitchum in this film noir subsumed by 1970s malaise
A205NEEKCQY4F8	B000IBUP6A	1970's crime movie
ACFEHL6SQ7SBQ	B000ICRKLM	sga -the best of the sg series
A1OE5P78QIQ13G	B000ICRKLM	best of the stargate atlantis seasons
A1K57CP4QTYR6S	B000ICRKLM	finished season 3 and on to season 4
A21ZXM8XB9XJHK	B000ICRKLM	stargate atlantis rocks
A103IEEZ5YCVRE	B000ICRKLM	atlantis season 3
A2R1ME16LOYENY	B000ICRKLM	great sci-fi adventures
A1K7R1U4QZS3W2	B000ICRKLM	wonderful space fantasy
A1OXSBQA7Y0QEG	B000ICRKLM	excellent season
A1AVOKBIPDODKY	B000ICRKLM	incredible series fantastic chemistry throughout the entire cast
A2DMK04EV8M4OV	B000ICRKLM	actually a good take off from sg-1
A3E9755POMX4K8	B000ICRKLM	great show
A2Q3SBLSHXFF3L	B000ICRKLM	great series
AH3A6BN5E4UPP	B000ICRKLM	my otp mckay food runs rampant this season
A11ED8O95W2103	B000ICRKLM	atlantis treads water
A1BZO0THZKLQE4	B000ICRKLM	stargate atlantis season 3
A2MD6815TK32I4	B000ICRKLM	love this show
A1S4SG13XO9BRT	B000ICRKLM	stargate atlantis season 3 review
A1ZVCVODKPED2G	B000ICRKLM	battle against the wraith continues
AFV2584U13XP3	B000ICRKLM	getting somewhat better as the series goes along
A106TIENB4CC0V	B000ICRKLM	same as season 1
A16QODENBJVUI1	B000ICRKLM	good at times but overall fails to realize its potential
AOVBJDNMWHYME	B000ICRKLM	another great sci-fi
A2N7W5LG2F13GK	B000ICRKLM	stargate atlantis
A2QDPJRVXL7P4F	B000ICRKLM	the best season so far
A253TX57EZ6HF1	B000ICRKLM	best of the stargate series shows
A360E528ENYXA1	B000ICRKLM	great show
A2ZV7BXTMFWBIH	B000ICRKLM	marvelous imaginative creation
A1ILIM2XQNFAM6	B000IJRK7O	prison
A1VF5LN6SHFVFJ	B000IJRK7O	this show is like a drug
A1B0IHL4JZBPH5	B000IJRK7O	tv's great
A109ME7C09HM2M	B000IJRK7O	wow
A1LPKQWRHTAHQN	B000IJRK7O	good second season
A3JNY2MSXKTXZW	B000IJRK7O	prison
A2A6NH6DPE0VXR	B000IJRK7O	a non-stop edge of your seat season
A34D06JL7LC6MU	B000IJRK7O	terrific not as good as season 1 but suspenceful entertaining and ingenius
AJKWF4W7QD4NS	B000IJRK7O	spectacular
A1ATHDILELXROF	B000IJRK7O	terrific as the first season you definitely want to get it
A332YTFFMDEY0Q	B000IJRK7O	great show
A2LI3BBF5MK8A1	B000IJRK7O	even better 2nd time
A18758S1PUYIDT	B000IJRK7O	fallout and unforeseen consequences after the breakout
A33LMH8SBNUA76	B000IJRK7O	good but not as good as season one
A38Z66H58RIJ64	B000IK882Y	great season
A20IIR0422G3A5	B000IK882Y	booth and brennan are pulled apart
A1HKBX2L0DV258	B000IK882Y	bones
A1U11PS71ML0YJ	B000IK882Y	even better the 2nd time around
A1DJLUH6JQ1RHQ	B000IK882Y	great fun show
A3D4YTF8EL8YKH	B000IK882Y	great show lots of fun
A1JR65ST3K320A	B000IK882Y	very good show
A36RIPWL7NKHPH	B000IK882Y	bones ii
A3LH77PBDFEO3F	B000IK882Y	bones season 2 better than ever
A2HVL790PBWYTU	B000IK882Y	talk to me squints as close to english as possible
A3UDYY6L2NH3JS	B000IK882Y	to be married or not to be married
A1IGN5VTOULKKE	B000IK882Y	love it
AKS9SJTHTU0OM	B000IK882Y	a well above average 'procedural' just gets better
A3R4NAFMN22TBW	B000IK882Y	bones is a classic
A2SP0JYHJEN7SV	B000IK882Y	awesome it is bones
A2QWF2BJ2FM4R2	B000IK882Y	improved
A25KKXUQQ0OLWB	B000IK882Y	fun show with a touch of romance
A331OF34UX4Y1K	B000IK882Y	hold its ground as one of the best tv shows nowadays
A16J2ZXOYM661W	B000IK882Y	excellent
AFFVUZEGP1FDQ	B000IK882Y	really good show
A2C2YJPIZOFDFT	B000IK882Y	bones is a crowd pleaser
A1OBPHRXHZF8P6	B000IK882Y	we return to the scene of the crime
A2QDPJRVXL7P4F	B000IK882Y	entertaining and educational show
A1S4NMO34CBCMJ	B000IK882Y	no bones about it
A18758S1PUYIDT	B000IK882Y	some changes for the better this time
AR6MI6AVH9YML	B000IK882Y	second season even better
AWBXDSNVRS7C0	B000IKP5AM	hilarious
A2L0G56BNOTX6S	B000IKP5AM	great show
A1REM7I2ZEE195	B000IKP5AM	hilarious
ACSH5YJ36Y2ZO	B000IKP5AM	oh hyacinth
AOXZZN25ZEQ6M	B000IKP5AM	hyacinth is so perfectly peculiar and we love her antics
A15N67ZYHS824P	B000IKP5AM	funny
A2VLNEKAUPCVCG	B000IKP5AM	love this show
AFJ9VM9YIFH18	B000IKP5AM	another fine series of hyacinth and her friends
A3H4D7INC7464C	B000IKP5AM	i never tire of this show
AOWWT9PZ1UP2V	B000IKP5AM	it's silly but i love it
A1YTRUGJGDH76T	B000IKQX44	invasion earth
A7VOYAAV4QNP5	B000IKQX44	was ok
A1D2TKAM3F55VN	B000IKQX44	incongruities quizical happenings throughout with poor acting
AMOS0E4FEHZQC	B000IKQX44	aliens invading
A1FXID63Q00LA	B000IKQX44	decent show
AJGJN9WKAVLKP	B000IKQX44	the secret plot
AHIK7BUXFRMT8	B000IKQX44	familiar plot with some new packaging twists
A23WWSJGLA1JYY	B000IKQX44	good old fashion scifi
A3MFF3HWX2TB60	B000IKQX44	british sci-fi is very entertaining despite little special effects
A2ZWPX8M57V6BQ	B000IKQX44	worth watching thanks to phyllis logan mrs hughes on downton abbey
A3LDLV1GWQJLEQ	B000IKQX44	campy and fun scifi
A1VTIQMM5L2ZK9	B000IKQX44	invasion earth
A34MCFO8OUYFVJ	B000IKQX44	invasion earth
A2R0JNWS3JEYQP	B000IKQX44	not for me
A23JS9UFZWZKH0	B000IKQX44	like quirky series this one is for you
A2MPEWXOPVMDVD	B000IKQX44	worth watching for one good reason
A17NBATBHU8GP9	B000IKQX44	wish it had continued
A11VIFGR4W70YW	B000IKQX44	held my interest
A1VJT2ZQ6MEFQQ	B000IKQX44	interesting
A2KFBDKKMSVN4Y	B000IKQX44	not dr who
AIYEG9VA07EZS	B000IKQX44	and there's not a way -- good or bad -- to 'spin' it
A2QEQ5WQG1N4HO	B000IKQX44	enjoyable imaginable twist on alien invasion
AWC64YSKNB3BP	B000IKQX44	a good plot gone bad
A1O46RR2M2T963	B000IO3OBK	very good season
A1ITK3REEMXTGO	B000IO3OBK	survivor cook islands
AJI274VTPS98E	B000IO3OBK	check it out
A2FZXIA25GIAJS	B000IO3OBK	one of my favorite seasons
A1W52R10Q5XC6U	B000IO3OBK	great show
A1K0WGC1ZVUWDL	B000IO3OBK	survivor cook islands
ARRC9IHPZ39U5	B000IO3OBK	five stars
A3LOEAFCDUA1W7	B000IO3OBK	3rd best season of survivor
A1J5SY2TZJG4VU	B000IO3OBK	playback sucks
A1STPMGQSC12NS	B000IO3OBK	ozzy is delightful
A1U11PS71ML0YJ	B000IVUL64	and they keep on rolling
A1ZKTI37TXXR89	B000IVUL64	new direction
A1EMD1AUIURQVJ	B000IVUL64	crazy about all of the seasons
A33PNAQ33DGBJG	B000IVUL64	horatio is my favorite
ATYZTTIYVC1WL	B000IVUL64	another great series
A31JTMZQF2Z1GT	B000IXUOP0	variation of topics and themes help
AB0GGIQBNB36Q	B000IXUOP0	while it's complicated it's good
A89NXH5WEOEJM	B000IXUOP0	ncis season 4
AVK8EK50NY2O7	B000IXUOP0	it's as good as they say
A1SDA5A53Z5AQ9	B000IXUOP0	ncis addict
A1UOTG037037XY	B000IXUOP0	menu changed for the worse no subtitles and no play all function
A1BLPBS90I0GRK	B000IXUOP0	ncis rocks
A1U11PS71ML0YJ	B000IXUOP0	gibbs is back
A2DGLPFS0COA0C	B000IXUOP0	superb crime scene show
A2TXR85WQLE32N	B000IXUOP0	a season of secrets
A36RIPWL7NKHPH	B000IXUOP0	ncis
A32B6XWNR55SRL	B000IXUOP0	this strong season lays a foundation for season five
ABVYGB2TKBO8F	B000IXUOP0	my favorite episode
A2RD1DGD4B61ZT	B000IXUOP0	love it
A33PNAQ33DGBJG	B000IXUOP0	ncis4 --
ATYZTTIYVC1WL	B000IXUOP0	ncis-the complete fourth season
ASXL207Z7R6SC	B000IXUOP0	ncis fourth season
A2SFUXVK5RP8VE	B000IXUOP0	ncis
AJ7SBFCIXPJM1	B000IXUOP0	ncis season 4--the labyrinth
A3FZGDI9RI5HZK	B000J0Q1KO	one of my favorites
A328547P5BGZC	B000J0Q1KO	csi is the best
A2CVP31XTYSZFE	B000J0Q1KO	sherlock in the lab
A2D2P57Q33UI6V	B000J0Q1KO	five stars
A1U11PS71ML0YJ	B000J0Q1KO	what others follow
AQKR4G6U34RBE	B000J0Q1KO	c s i crime scene investigation - the complete seventh season
A1EMD1AUIURQVJ	B000J0Q1KO	csi - so sorry i missed this show when i was younger
A24ZFFRQ4MG3XL	B000J0Q1KO	i'd give this 10 stars if possible -
A16XRPF40679KG	B000J0Q1KO	it's a crime it's so good
A33PNAQ33DGBJG	B000J0Q1KO	las vegas
ATYZTTIYVC1WL	B000J0Q1KO	csi crime scene investigation- the complete seventh season
AJKWF4W7QD4NS	B000J0Q1KO	still going strong
A265S6DC1KZGC	B000J0Q1KO	csi seventh season
AFHKFOO046N00	B000J1B1PI	a great show that keeps to high standards
ADNPIJY4C1OYU	B000J1B1PI	good series
A29VW1OZ9FFLTQ	B000J1B1PI	great season
A186XAEM5XB0D9	B000J1B1PI	enjoyable
A1U11PS71ML0YJ	B000J1B1PI	it keeps on rolling
A50IGEA0XTJ99	B000J1B1PI	perfection
A4EIJ7R3YT2FV	B000J1B1PI	love it
AOXZZN25ZEQ6M	B000J1B1PI	very interesting good characters
A2JFNI2PMBSH6T	B000J1B1PI	loved it
AL5TQX7VV6BJ5	B000J1B1PI	i will view it again in the near future
A12J0MK77TBIYB	B000J1B1PI	love this show
A33PNAQ33DGBJG	B000J1B1PI	numbers
ATYZTTIYVC1WL	B000J1B1PI	numbers-the 3rd season
AT1BYQVGK7U71	B000J1B1PI	above average but still missing the mark
A1VYWOLFR6Q8EK	B000J1B1PI	the second time around
AYRFEPLLS7A7O	B000J1B1PI	lots going on in this season
AEQZH5LMPGPE2	B000J46A6K	british humor
A179EPBPN8ZDHT	B000J46A6K	not funny
ASP2V93TXY8P2	B000J46A6K	sir humphrey and the minister
AKLOKUHZLJTUP	B000J46A6K	hilarious
A2YMPFOTTUE7FV	B000J46A6K	yes minster british comedy
A1AX4PPAR8B39O	B000J46A6K	my end of night laugh
A2RW8F4VDJSTVY	B000J46A6K	yes i recommend yes minister
ASX78YVQUI195	B000J46A6K	maybe minister
A360DPC534SN3C	B000JEZBNI	a great and inspirational story
A42GFMF12V7XR	B000JEZBNI	season 1 part 1 not the complete season 1
AUM3YMZ0YRJE0	B000JEZBNI	absolutely first rate hard sci-fi never surpassed on tv
A32SJM5GPNG5QL	B000JEZBNI	a great episode
AQP1VPK16SVWM	B000JEZBNI	great series lousy pricing for reissue and the exact same transfer with no extras
AFHKFOO046N00	B000JO9JHW	do not watch if
A1SKMSIZF60I2	B000JO9JHW	not for everyone
A2F7CCPK4QL359	B000JO9JHW	a killer good show
A328547P5BGZC	B000JO9JHW	superb
A2BHEPYIDR182L	B000JO9JHW	wow
A2LPG8I4A2LBVQ	B000JO9JHW	killer show
A1VF5LN6SHFVFJ	B000JO9JHW	nice to see something original
A1U11PS71ML0YJ	B000JO9JHW	not for the faint of heart
